,,urls,,Views,Uploaded_Date,Likes ,Dislikes 
0,,https://www.youtube.com/watch?v=bWWTk-pZX5g,,"382,446 views",23 Mar 2020,18K,341
1,,https://www.youtube.com/watch?v=gyK9USvrvDQ,,"575,824 views",25 Aug 2018,12K,992
2,,https://www.youtube.com/watch?v=GihybX7JyG4,,"4,692,014 views",26 Oct 2017,61K,4.3K
3,,https://www.youtube.com/watch?v=4f2OCYaqLdE,,"1,977,658 views",25 Jan 2020,99K,734
4,,https://www.youtube.com/watch?v=imA5NPX4ucU,,"2,450 views",23 Jul 2020,233,0
5,,https://www.youtube.com/watch?v=QgU1zoZJQDM,,"17,872 views",Premiered 17 hours ago,393,2
6,,https://www.youtube.com/watch?v=zAS1nXFqBM8,,"255,169 views",1 May 2019,9.2K,189
7,,https://www.youtube.com/watch?v=Dk9mcJtIuCs,,"1,834,917 views",26 Nov 2017,60K,1K
8,,https://www.youtube.com/watch?v=THtKW5hy3u4,,"358,861 views",20 Feb 2020,15K,161
9,,https://www.youtube.com/watch?v=eTFy8RnUkoU,,"4,906,542 views",10 Oct 2017,102K,2.1K
10,,https://www.youtube.com/watch?v=a47dqygseGo,,"1,163,884 views",30 Sep 2018,34K,996
11,,https://www.youtube.com/watch?v=6Gw5dK48MtI,,"197,098 views",28 Jan 2020,8.1K,127
12,,https://www.youtube.com/watch?v=2pWCyUys6lM,,"514,182 views",25 Sep 2019,19K,530
13,,https://www.youtube.com/watch?v=v9TDLenqbzM,,"29,485 views",23 Jul 2020,2.9K,11
14,,https://www.youtube.com/watch?v=pNar3Dh9zDk,,"6,706,981 views",29 Dec 2018,546K,11K
15,,https://www.youtube.com/watch?v=XuXhqIsb2sk,,"583,637 views",20 Nov 2019,24K,343
16,,https://www.youtube.com/watch?v=wJdNrCeUdhc,,"8,179,449 views",17 May 2018,124K,6K
17,,https://www.youtube.com/watch?v=osqNn_9HdgU,,"2,138,537 views",10 Jul 2020,149K,1.9K
18,,https://www.youtube.com/watch?v=lviVCr1dK1o,,"1,672,079 views",31 Mar 2020,67K,1.3K
19,,https://www.youtube.com/watch?v=8tKuviI68Ss,,"655,104 views",30 Oct 2019,25K,656
20,,https://www.youtube.com/watch?v=EcHXbIp1AEw,,"19,933 views",23 Jul 2020,1.2K,4
21,,https://www.youtube.com/watch?v=dKAixirAIVk,,"494,239 views",22 Nov 2019,30K,297
22,,https://www.youtube.com/watch?v=dv4zUPs2JQc,,"177,256 views",16 Mar 2018,5.6K,178
23,,https://www.youtube.com/watch?v=xeUWvnHXikQ,,"324,418 views",18 May 2019,8.2K,235
24,,https://www.youtube.com/watch?v=8H9jTlrpl4s,,"833,025 views",21 Mar 2018,27K,933
25,,https://www.youtube.com/watch?v=sm9pNiYpiDY,,"528,128 views",7 Dec 2018,15K,346
26,,https://www.youtube.com/watch?v=lIW5jBrrsS0,,"2,208,180 views",Premiered on 23 Apr 2019,215K,1.3K
27,,https://www.youtube.com/watch?v=K5oyGK7YCBk,,"490,068 views",24 Jan 2020,19K,292
28,,https://www.youtube.com/watch?v=dIrrROL2pRE,,"643,538 views",Premiered on 28 Jun 2020,35K,533
29,,https://www.youtube.com/watch?v=lb8jeSp77dY,,"85,828 views",Streamed live on 21 Jul 2020,9.7K,198
30,,https://www.youtube.com/watch?v=JNib3HUCg2M,,"80,772 views",19 Jul 2020,6.6K,40
31,,https://www.youtube.com/watch?v=ll2C2J6Q3SY,,"8,251,320 views",6 Dec 2017,40K,549
32,,https://www.youtube.com/watch?v=u7OAMv-XfKs,,"3,301 views",23 Jul 2020,LIKE,DISLIKE
33,,https://www.youtube.com/watch?v=-f0NzGe6AqM,,"539,647 views",11 Apr 2020,34K,925
34,,https://www.youtube.com/watch?v=OeZAn0GcUow,,"68,978 views",22 Jul 2020,5.7K,64
35,,https://www.youtube.com/watch?v=pm8oXab3zSk,,"83,689 views",15 Jul 2020,7.6K,79
36,,https://www.youtube.com/watch?v=6Zu6cw5UjSg,,"2,182,373 views",31 Jul 2018,78K,1K
37,,https://www.youtube.com/watch?v=4AW54-7UUE0,,"22,044 views",23 Jul 2020,1.7K,8
38,,https://www.youtube.com/watch?v=fhbZT0Dpipc,,"50,666 views",13 Jul 2020,5K,19
39,,https://www.youtube.com/watch?v=69z122eUdDc,,"20,682,849 views",1 Jun 2018,70K,14K
40,,https://www.youtube.com/watch?v=SJaY_kiXBzY,,"22,125,797 views",4 Jan 2020,63K,27K
41,,https://www.youtube.com/watch?v=ZkIIAiqDGJ0,,"17,981,343 views",6 Apr 2014,58K,15K
42,,https://www.youtube.com/watch?v=AqAJLh9wuZ0,,"45,939,052 views",Premiered on 27 Feb 2020,1.3M,154K
43,,https://www.youtube.com/watch?v=dANdTnL7GxE,,"123,932 views",23 Jul 2020,9.8K,34
44,,https://www.youtube.com/watch?v=RHZhi0a-CPQ,,"12,506 views",23 Jul 2020,263,3
45,,https://www.youtube.com/watch?v=LdHzeCYnuC0,,"42,233,486 views",18 Nov 2019,141K,48K
46,,https://www.youtube.com/watch?v=pECuHYLnLyo,,"47,985,584 views",21 Oct 2019,167K,46K
47,,https://www.youtube.com/watch?v=j8w7DzNgShg,,"65,990,443 views",18 May 2018,249K,45K
48,,https://www.youtube.com/watch?v=uyM6Wyg0xPg,,"76,374,287 views",6 Jul 2016,601K,21K
49,,https://www.youtube.com/watch?v=DaFRheiGED0,,"2,728,977 views",26 Apr 2020,178K,5.4K
50,,https://www.youtube.com/watch?v=54IYi9JRPV4,,"14,017,006 views",16 Aug 2019,93K,13K
51,,https://www.youtube.com/watch?v=ia1iuXbEaYQ,,"76,996,892 views",Premiered on 10 Jan 2020,2.1M,60K
52,,https://www.youtube.com/watch?v=mggVxZj5HTs,,"1,557,792 views",22 Jul 2020,97K,3K
53,,https://www.youtube.com/watch?v=A870mS0bN-E,,"118,531,403 views",2 Nov 2016,336K,76K
54,,https://www.youtube.com/watch?v=YJMZ9rCdGZk,,"26,040 views",24 Jul 2020,444,13
55,,https://www.youtube.com/watch?v=6R2USoz__Mk,,"4,141 views",23 Jul 2020,62,3
56,,https://www.youtube.com/watch?v=wFeoLnr8Pn0,,"88,189 views",Streamed live on 23 Jul 2020,6.9K,89
57,,https://www.youtube.com/watch?v=LhZyHIZpzoM,,"238,982 views",24 Jul 2020,7.9K,101
58,,https://www.youtube.com/watch?v=yRhRZB-nqOU,,"97,604,811 views",8 Dec 2016,334K,58K
59,,https://www.youtube.com/watch?v=KF4hH8wUXWw,,"241,594,683 views",29 Sep 2016,642K,283K
60,,https://www.youtube.com/watch?v=iaWr41rDkm0,,"59,559 views",22 Jul 2020,4.4K,81
61,,https://www.youtube.com/watch?v=IBV_loY5Kc0,,"5,742,054 views",21 Jun 2020,22K,8.5K
62,,https://www.youtube.com/watch?v=ejKvwawO0uA,,"1,808,340 views",23 Jul 2020,35K,1K
63,,https://www.youtube.com/watch?v=WfGMYdalClU,,"42,674,960 views",21 Dec 2012,1M,84K
64,,https://www.youtube.com/watch?v=tbEekLA7J3Y,,"12,403,804 views",7 Feb 2020,474K,13K
