,Video Link,Video Title
0,https://www.youtube.com/watch?v=bWWTk-pZX5g,8 fiction books you need to read📚(& that will keep you entertained during your quarantine)
1,https://www.youtube.com/watch?v=gyK9USvrvDQ,Top 10 BEST SELLING Books In History
2,https://www.youtube.com/watch?v=GihybX7JyG4,(Full Audiobook) This Book Will Change Everything! (Amazing!)
3,https://www.youtube.com/watch?v=4f2OCYaqLdE,I Read Every Book Joe from You Recommended
4,https://www.youtube.com/watch?v=imA5NPX4ucU,SUPER BIG BOOKHAUL aka *leo has a book buying problem *✨📚
5,https://www.youtube.com/watch?v=QgU1zoZJQDM,Rock Bottom Remainders support the Book Industry Charitable Foundation
6,https://www.youtube.com/watch?v=zAS1nXFqBM8,15 Books Steve Jobs Thought Everyone Should Read
7,https://www.youtube.com/watch?v=Dk9mcJtIuCs,15 Business Books Everyone Should Read
8,https://www.youtube.com/watch?v=THtKW5hy3u4,20 books to read in 2020
9,https://www.youtube.com/watch?v=eTFy8RnUkoU,How Bill Gates reads books
10,https://www.youtube.com/watch?v=a47dqygseGo,15 Books Bill Gates Thinks Everyone Should Read
11,https://www.youtube.com/watch?v=6Gw5dK48MtI,"Why books are here to stay | Small Thing Big Idea, a TED series"
12,https://www.youtube.com/watch?v=2pWCyUys6lM,15 Books JORDAN PETERSON Thinks Everyone Should Read
13,https://www.youtube.com/watch?v=v9TDLenqbzM,SAVE ONE DROP ONE: BOOK EDITION
14,https://www.youtube.com/watch?v=pNar3Dh9zDk,I read 721 books in 2018
15,https://www.youtube.com/watch?v=XuXhqIsb2sk,5 Books That Changed My Life
16,https://www.youtube.com/watch?v=wJdNrCeUdhc,Can You Name a Book? ANY Book???
17,https://www.youtube.com/watch?v=osqNn_9HdgU,World's Best Life Changing Book - By Sandeep Maheshwari | Hindi
18,https://www.youtube.com/watch?v=lviVCr1dK1o,How To Improve English By Reading Books - Speak Fluently in English in 30 days - Day 17
19,https://www.youtube.com/watch?v=8tKuviI68Ss,How I Read 100 Books a Year - 8 Tips for Reading More
20,https://www.youtube.com/watch?v=EcHXbIp1AEw,READ-A-THON READING VLOG: 3 Books & 700 Pages!
21,https://www.youtube.com/watch?v=dKAixirAIVk,9 Books Every Aspiring Millionaire Must Read
22,https://www.youtube.com/watch?v=dv4zUPs2JQc,Favourite Books by Indian Authors || Best Indian Books to Read
23,https://www.youtube.com/watch?v=xeUWvnHXikQ,The best books to read that we should be reading - Jordan Peterson
24,https://www.youtube.com/watch?v=8H9jTlrpl4s,11 Books for Beginners || Book Recommendations For All Types of People
25,https://www.youtube.com/watch?v=sm9pNiYpiDY,Napoleon Hill's THINK and GROW RICH Book Summary by 2000 Books
26,https://www.youtube.com/watch?v=lIW5jBrrsS0,BOOKSTORES: How to Read More Books in the Golden Age of Content
27,https://www.youtube.com/watch?v=K5oyGK7YCBk,5 Books You Must Read in 2020 If You Hate Reading | Life Changing Books | ChetChat
28,https://www.youtube.com/watch?v=dIrrROL2pRE,5 Books You Must Read! Gaur Gopal Das
29,https://www.youtube.com/watch?v=lb8jeSp77dY,Meri Book Recommendations & Collection
30,https://www.youtube.com/watch?v=JNib3HUCg2M,15 Best Books to Get Rich
31,https://www.youtube.com/watch?v=ll2C2J6Q3SY,How To Read a Book a Week | Jim Kwik
